year,office,office_name,approved,modified,accrued,shifted,ratio
2017,1600,Organo Judicial,265123185.99999994,263174118.0000001,246835809.59999982,-1949067.9999999963,-0.7351556193202946
2017,2300,Ramo de Gobernación y Desarrollo Territorial,29023693.99999995,27751471.999999993,26904193.06,-1272222.0000000026,-4.383391032168423
2017,4400,Ramo de Medio Ambiente y Recursos Naturales,23327375.999999993,22055154.0,20973758.570000015,-1272221.9999999995,-5.453772426011396
2017,0200,Corte de Cuentas de la República,39899194.99999999,39327981.0,37697489.07000002,-571214.0000000007,-1.431642919111528
2017,1500,Consejo Nacional de la Judicatura,5989854.999999997,5757732.999999995,5754625.029999994,-232122.0000000005,-3.875252405943059
2017,0800,Ramo de Relaciones Exteriores,43130878.00000009,43049798.999999925,42388525.38999993,-81079.0000000001,-0.1879836529179859
2017,0300,Tribunal Supremo Electoral,16595594.999999994,16595595.000000004,16566370.370000007,-2.3283064365386963e-10,-1.4029665321060782e-15
2017,0400,Tribunal de Servicio Civil,797804.9999999992,797804.9999999988,791771.5599999989,-3.54702933691442e-11,-4.445985343429063e-15
2017,0600,Tribunal de Etica Gubernamental,2248004.999999999,2248004.999999999,2167452.009999998,1.318767317570746e-11,5.866389610213263e-16
2017,0100,Organo Legislativo,58245099.99999993,58245100.00000016,54628019.37000012,1.3969838619232178e-09,2.3984573155908726e-15
2017,1900,Procuraduría para la Defensa de los Derechos Human,9441563.999999985,9674926.000000006,9618911.480000008,233362.0,2.4716455875319
2017,3300,Ramo de Trabajo y Previsión Social,13132302.000000004,13390915.999999976,13228614.419999976,258614.00000000035,1.9692967767570397
2017,1800,Procuraduría General de la República,25751841.999999985,26184260.000000026,26133812.230000008,432418.0000000006,1.6791730859485734
