"year","muni_contab_id","account","amount"
"2010","8206","424","11815.489013671875"
"2010","8206","811","613295.2624969482"
"2010","8206","831","496079.087890625"
"2010","8206","833","119150.5068359375"
"2010","8206","834","55197.97955036163"
"2010","8206","835","480.07000732421875"
"2010","8206","836","4447.490087509155"
"2010","8206","837","338651.97857666016"
"2010","8206","838","13395.60986328125"
"2010","8206","839","1148.9100189208984"
"2010","8206","851","3990.530029296875"
"2010","8206","856","489720.953125"
"2010","8206","857","366382"
"2010","8206","858","31037.9296875"
"2010","8206","859","10473.539962768555"
"2010","8207","211","1190750.7265625"
"2010","8207","213","252482.01025390625"
"2010","8207","222","35337.140625"
"2010","8207","225","1119311.58203125"
"2010","8207","226","1426.469970703125"
"2010","8207","231","6509.27978515625"
"2010","8207","241","1239804.76171875"
"2010","8207","243","1465269.75"
"2010","8207","252","36190.25"
"2010","8207","412","607544.75"
"2010","8207","413","396641.6953125"
"2010","8207","422","1456322.6015625"
"2010","8207","424","16519.078125"
"2010","8207","811","2264143.400390625"
"2010","8207","819","-2119.820068359375"
"2010","8207","831","1452645.970703125"
"2010","8207","833","1530544.2900390625"
"2010","8207","834","2179745.375"
"2010","8207","835","31319.990234375"
"2010","8207","836","75645.7685546875"
"2010","8207","837","709590.21875"
"2010","8207","838","130588.84375"
"2010","8207","839","9083.889953613281"
"2010","8207","851","2192705.039999962"
"2010","8207","855","9312.099609375"
"2010","8207","856","1135117.03125"
"2010","8207","857","2078515.875"
"2010","8207","858","1263825"
"2010","8207","859","47719.2705078125"
"2010","8208","211","122863.4126586914"
"2010","8208","212","0"
"2010","8208","213","0"
"2010","8208","225","-0.029999999329447746"
"2010","8208","251","51202.990234375"
"2010","8208","252","13111.1259765625"
"2010","8208","412","59796.32958984375"
"2010","8208","413","1833.239990234375"
"2010","8208","424","4367.880126953125"
"2010","8208","811","124720.49310302734"
"2010","8208","831","308960.734375"
"2010","8208","833","107680.15625"
"2010","8208","834","44811.94140625"
"2010","8208","836","11811.420272827148"
"2010","8208","837","10025.52001953125"
"2010","8208","839","5787.189842224121"
"2010","8208","851","3962.3701171875"
"2010","8208","856","111679.9609375"
"2010","8208","857","327808.7412490845"
"2010","8208","858","41782.671875"
"2010","8208","859","302.7799987792969"
"2010","8209","211","-20052.623046875"
"2010","8209","212","71747.56005859375"
"2010","8209","213","256166.21875"
"2010","8209","221","40337.140625"
"2010","8209","222","5859.10986328125"
"2010","8209","223","1223.3399658203125"
"2010","8209","225","1277136.9609375"
"2010","8209","231","717"
"2010","8209","241","227333.82653808594"
"2010","8209","243","1426079.625"
"2010","8209","251","61588.8203125"
