year,contab,class,kind,group,amount,id,shp,department,municipality,population
2021,8101,APR,Egresos,AMTDEU,764291.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2021,8101,APR,Egresos,GASTOS,8138960.093398094,1101,1,Ahuachapán,Ahuachapán,110511.0
2021,8101,APR,Egresos,INVERS,4366572.63192749,1101,1,Ahuachapán,Ahuachapán,110511.0
2021,8101,APR,Ingresos,INGPRP,8992019.3336792,1101,1,Ahuachapán,Ahuachapán,110511.0
2021,8101,APR,Ingresos,TRFREC,4277804.346191406,1101,1,Ahuachapán,Ahuachapán,110511.0
2021,8101,MOD,Egresos,AMTDEU,810492.7294921875,1101,1,Ahuachapán,Ahuachapán,110511.0
2021,8101,MOD,Egresos,GASTOS,9128847.974390415,1101,1,Ahuachapán,Ahuachapán,110511.0
2021,8101,MOD,Egresos,INVERS,5473304.0843651295,1101,1,Ahuachapán,Ahuachapán,110511.0
2021,8101,MOD,Ingresos,INGPRP,10530499.8961792,1101,1,Ahuachapán,Ahuachapán,110511.0
2021,8101,MOD,Ingresos,TRFREC,4882145.01953125,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8102,ACR,Egresos,AMTDEU,880162.5598144531,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,ACR,Egresos,GASTOS,733928.4177772999,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,ACR,Egresos,INVERS,211747.2974510193,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,ACR,Ingresos,INGDEU,1066005.310546875,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,ACR,Ingresos,INGPRP,121440.99087715149,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,ACR,Ingresos,TRFREC,721932.2280273438,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,APR,Egresos,AMTDEU,98690.56982421875,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,APR,Egresos,GASTOS,618785.8770751953,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,APR,Egresos,INVERS,228968.0,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,APR,Ingresos,INGDEU,200000.0,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,APR,Ingresos,INGPRP,103382.20922851562,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,APR,Ingresos,TRFREC,643062.25,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,MOD,Egresos,AMTDEU,880162.5921630859,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,MOD,Egresos,GASTOS,755220.246945858,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,MOD,Egresos,INVERS,407873.75,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,MOD,Ingresos,INGDEU,1266005.3146972656,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,MOD,Ingresos,INGPRP,134189.03979492188,1108,2,Ahuachapán,Apaneca,8383.0
2010,8102,MOD,Ingresos,TRFREC,643062.25,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,ACR,Egresos,AMTDEU,1182847.6527404785,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,ACR,Egresos,GASTOS,865140.5596196651,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,ACR,Egresos,INVERS,292480.30070495605,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,ACR,Ingresos,INGDEU,1403079.1875,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,ACR,Ingresos,INGPRP,137787.93954467773,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,ACR,Ingresos,TRFREC,903498.107434988,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,APR,Egresos,AMTDEU,70000.0,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,APR,Egresos,GASTOS,676433.0786437988,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,APR,Egresos,INVERS,226661.125,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,APR,Ingresos,INGDEU,0.0,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,APR,Ingresos,INGPRP,139415.81982421875,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,APR,Ingresos,TRFREC,833678.375,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,MOD,Egresos,AMTDEU,1190967.4233398438,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,MOD,Egresos,GASTOS,877043.0685052872,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,MOD,Egresos,INVERS,513091.255065918,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,MOD,Ingresos,INGDEU,1400711.83984375,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,MOD,Ingresos,INGPRP,152106.27001953125,1108,2,Ahuachapán,Apaneca,8383.0
2011,8102,MOD,Ingresos,TRFREC,1028283.68359375,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,ACR,Egresos,AMTDEU,86690.3994140625,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,ACR,Egresos,GASTOS,815908.8479216099,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,ACR,Egresos,INVERS,353086.720086813,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,ACR,Ingresos,INGDEU,250000.0,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,ACR,Ingresos,INGPRP,116638.97103238106,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,ACR,Ingresos,TRFREC,930774.299726218,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,APR,Egresos,AMTDEU,71829.078125,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,APR,Egresos,GASTOS,828957.0378417969,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,APR,Egresos,INVERS,270908.4619140625,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,APR,Ingresos,INGDEU,0.0,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,APR,Ingresos,INGPRP,321389.1252441406,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,APR,Ingresos,TRFREC,850305.4375,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,MOD,Egresos,AMTDEU,86829.078125,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,MOD,Egresos,GASTOS,872356.3738501072,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,MOD,Egresos,INVERS,577740.1750335693,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,MOD,Ingresos,INGDEU,250000.0,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,MOD,Ingresos,INGPRP,356151.34509277344,1108,2,Ahuachapán,Apaneca,8383.0
2012,8102,MOD,Ingresos,TRFREC,930774.2734375,1108,2,Ahuachapán,Apaneca,8383.0
2013,8102,ACR,Egresos,AMTDEU,389441.77099609375,1108,2,Ahuachapán,Apaneca,8383.0
